,team,stat,value
0,Burnley,total_pull_back,1.0
0,Burnley,accurate_freekick_cross,1.0
0,Burnley,freekick_cross,1.0
0,Burnley,losses,1.0
0,Burnley,att_setpiece,1.0
0,Burnley,accurate_through_ball,1.0
0,Burnley,big_chance_created,1.0
0,Arsenal,formation_used,4231.0
0,Arsenal,total_distance_in_m,115870.6640625
0,Arsenal,total_pass,533.0
0,Arsenal,open_play_pass,507.0
0,Arsenal,accurate_layoffs,5.0
0,Arsenal,possession_percentage,60.3
0,Arsenal,total_back_zone_pass,294.0
0,Arsenal,fwd_pass,184.0
0,Arsenal,successful_open_play_pass,438.0
0,Arsenal,accurate_pass,459.0
0,Arsenal,backward_pass,76.0
0,Arsenal,total_layoffs,5.0
0,Arsenal,leftside_pass,148.0
0,Arsenal,touches,714.0
0,Arsenal,accurate_back_zone_pass,258.0
0,Arsenal,total_fwd_zone_pass,264.0
0,Arsenal,accurate_fwd_zone_pass,204.0
0,Arsenal,rightside_pass,125.0
0,Arsenal,poss_lost_all,131.0
0,Arsenal,aerial_lost,20.0
0,Arsenal,passes_right,41.0
0,Arsenal,blocked_pass,13.0
0,Arsenal,total_final_third_passes,138.0
0,Arsenal,accurate_throws,17.0
0,Arsenal,total_chipped_pass,35.0
0,Arsenal,total_long_balls,61.0
0,Arsenal,put_through,13.0
0,Arsenal,poss_lost_ctrl,131.0
0,Arsenal,total_throws,20.0
0,Arsenal,accurate_keeper_throws,5.0
0,Arsenal,poss_won_mid_3rd,16.0
0,Arsenal,won_corners,5.0
0,Arsenal,successful_final_third_passes,112.0
0,Arsenal,ball_recovery,57.0
0,Arsenal,final_third_entries,43.0
0,Arsenal,challenge_lost,6.0
0,Arsenal,duel_lost,44.0
0,Arsenal,accurate_long_balls,35.0
0,Arsenal,keeper_throws,5.0
0,Arsenal,poss_won_def_3rd,33.0
0,Arsenal,total_launches,14.0
0,Arsenal,long_pass_own_to_opp,50.0
0,Arsenal,total_cross_nocorner,24.0
0,Arsenal,freekick_cross,3.0
0,Arsenal,passes_left,60.0
0,Arsenal,total_cross,25.0
0,Arsenal,accurate_cross_nocorner,3.0
0,Arsenal,accurate_freekick_cross,1.0
0,Arsenal,fouled_final_third,3.0
0,Arsenal,long_pass_own_to_opp_success,37.0
0,Arsenal,pen_area_entries,33.0
0,Arsenal,accurate_cross,3.0
0,Arsenal,duel_won,43.0
0,Arsenal,accurate_chipped_pass,19.0
0,Arsenal,attempts_conceded_ibox,12.0
0,Arsenal,aerial_won,17.0
0,Arsenal,crosses_18yard,18.0
0,Arsenal,big_chance_missed,2.0
0,Arsenal,corner_taken,5.0
0,Arsenal,att_ibox_post,1.0
0,Arsenal,post_scoring_att,1.0
0,Arsenal,touches_in_opp_box,37.0
0,Arsenal,total_att_assist,13.0
0,Arsenal,att_post_right,1.0
0,Arsenal,shot_off_target,4.0
0,Arsenal,total_scoring_att,17.0
0,Arsenal,attempts_ibox,12.0
0,Arsenal,total_contest,12.0
0,Arsenal,big_chance_created,3.0
0,Arsenal,goal_kicks,8.0
0,Arsenal,att_setpiece,1.0
0,Arsenal,hit_woodwork,1.0
0,Arsenal,offtarget_att_assist,4.0
0,Arsenal,att_assist_setplay,1.0
0,Arsenal,total_tackle,11.0
0,Arsenal,fk_foul_won,10.0
0,Arsenal,unsuccessful_touch,15.0
0,Arsenal,total_through_ball,3.0
0,Arsenal,accurate_through_ball,2.0
0,Arsenal,saves,3.0
0,Arsenal,att_bx_right,2.0
0,Arsenal,ontarget_scoring_att,6.0
0,Arsenal,att_openplay,16.0
0,Arsenal,saved_ibox,3.0
0,Arsenal,att_rf_total,13.0
0,Arsenal,att_assist_openplay,10.0
0,Arsenal,att_ibox_target,2.0
0,Arsenal,att_sv_high_centre,2.0
0,Arsenal,ontarget_att_assist,9.0
0,Arsenal,att_rf_target,2.0
0,Arsenal,att_ibox_blocked,4.0
0,Arsenal,blocked_scoring_att,7.0
0,Arsenal,att_bx_centre,4.0
0,Arsenal,att_lf_total,3.0
0,Arsenal,total_keeper_sweeper,2.0
0,Arsenal,head_clearance,16.0
0,Arsenal,won_tackle,7.0
0,Arsenal,effective_clearance,27.0
0,Arsenal,total_clearance,27.0
0,Arsenal,effective_head_clearance,16.0
0,Arsenal,accurate_keeper_sweeper,2.0
0,Arsenal,poss_won_att_3rd,2.0
0,Arsenal,effective_blocked_cross,3.0
0,Arsenal,blocked_cross,3.0
0,Arsenal,crosses_18yardplus,3.0
0,Arsenal,lost_corners,4.0
0,Arsenal,outfielder_block,3.0
0,Arsenal,diving_save,2.0
0,Arsenal,dispossessed,8.0
0,Arsenal,accurate_pull_back,1.0
0,Arsenal,attempts_conceded_obox,2.0
0,Arsenal,total_pull_back,2.0
0,Arsenal,accurate_launches,4.0
0,Arsenal,clearance_off_line,1.0
0,Arsenal,subs_made,2.0
0,Arsenal,interception,6.0
0,Arsenal,att_obx_centre,5.0
0,Arsenal,att_obox_blocked,3.0
0,Arsenal,attempts_obox,5.0
0,Arsenal,interception_won,6.0
0,Arsenal,won_contest,5.0
0,Arsenal,total_corners_intobox,1.0
0,Arsenal,att_cmiss_right,2.0
0,Arsenal,att_obox_miss,1.0
0,Arsenal,att_miss_right,2.0
0,Arsenal,forward_goals,2.0
0,Arsenal,goals_openplay,3.0
0,Arsenal,att_goal_low_right,1.0
0,Arsenal,att_one_on_one,1.0
0,Arsenal,att_rf_goal,2.0
0,Arsenal,att_ibox_goal,3.0
0,Arsenal,big_chance_scored,2.0
0,Arsenal,interceptions_in_box,1.0
0,Arsenal,goals,3.0
0,Arsenal,total_yel_card,1.0
0,Arsenal,successful_put_through,1.0
0,Arsenal,att_sv_low_right,1.0
0,Arsenal,att_lf_target,1.0
0,Arsenal,goal_assist_intentional,1.0
0,Arsenal,att_goal_high_left,1.0
0,Arsenal,goal_assist,2.0
0,Arsenal,goal_assist_openplay,2.0
0,Arsenal,goals_conceded_ibox,1.0
0,Arsenal,goals_conceded,1.0
0,Arsenal,overrun,2.0
0,Arsenal,saved_obox,1.0
0,Arsenal,six_yard_block,2.0
0,Arsenal,att_obox_target,1.0
0,Arsenal,att_ibox_miss,2.0
0,Arsenal,accurate_goal_kicks,3.0
0,Arsenal,shield_ball_oop,1.0
0,Arsenal,attempted_tackle_foul,3.0
0,Arsenal,fk_foul_lost,3.0
0,Arsenal,att_bx_left,1.0
0,Arsenal,att_cmiss_high,1.0
0,Arsenal,att_miss_high,1.0
0,Arsenal,att_goal_low_centre,1.0
0,Arsenal,att_lf_goal,1.0
0,Arsenal,wins,1.0
0,Arsenal,total_flick_on,3.0
0,Arsenal,att_goal_low_left,1.0
